filename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Screenshot 2025-04-28 203958_0_0.png,0.33536738,0.0,0.0,0.08563969,0.22444,0.0016678134,0.0,0.14512256,5.1101557e-05,0.10435926,0.002422486,0.0002643772,0.0,0.011877891,0.20060956,0.0,0.3548926,0.019030588,4.3686837e-06,0.0006736021,6.205517e-05,0.1588786,0.016699208,0.002772928,0.032800503,0.004348675,0.24618267,0.032247335,0.043252796,0.13379733,0.112340115,0.04658157,0.054893505,0.09858373,0.00034864005,0.32962918,0.00014366217,0.050424524,0.0018174719,0.120876476,3.7547165e-05,0.25445533,0.0038876515,0.013946764,0.0,0.050880067,0.0,0.030547827,0.37856606,0.03497079,0.005233115,0.15190518,0.021729382,0.19293171,0.007084951,0.00012140385,0.0064807856,0.0045772144,0.0007907656,0.012141176,0.015015472,0.023209393,0.007446136,0.014301625
Screenshot 2025-04-28 203958_1_0.png,0.35623798,0.0,0.0,0.08417508,0.22382224,0.0011296276,0.0,0.15592398,7.107366e-05,0.10414154,0.0022496318,0.0002084949,0.0,0.0076969774,0.2092621,0.0,0.36298248,0.012985451,4.3686837e-06,0.00049485266,6.205517e-05,0.17578487,0.010352414,0.002700735,0.0319042,0.0038343617,0.24494168,0.03161866,0.047696266,0.14658353,0.11005888,0.04741559,0.054850355,0.10776044,0.00037293826,0.331132,6.857543e-05,0.050440855,0.0014797004,0.13634269,8.56028e-05,0.27149704,0.0037298133,0.010229314,7.439593e-06,0.04882079,1.2228573e-05,0.02678409,0.4047897,0.03175755,0.0051571527,0.17057665,0.031414844,0.21795124,0.0061121536,0.00021654059,0.0060002357,0.0037050336,0.0001269337,0.008730281,0.008955633,0.021677312,0.005441371,0.009590104
Screenshot 2025-04-28 203958_2_0.png,0.35002288,3.2737917e-06,0.0,0.08426811,0.22373122,0.001451038,0.0,0.15244518,5.588028e-05,0.10461146,0.0023107966,0.00023224192,0.0,0.009675371,0.20640263,0.0,0.36125937,0.014696787,9.335617e-05,0.0003323608,6.205517e-05,0.17235166,0.011545722,0.0024630644,0.032804303,0.0039185956,0.2450781,0.03209298,0.047011178,0.14326783,0.11152362,0.046957325,0.05541066,0.1046378,5.8511356e-05,0.33126393,5.2671152e-05,0.050704207,0.0014119745,0.13179153,3.9588245e-05,0.26720667,0.0040176553,0.010614476,0.0,0.04909743,1.3555459e-05,0.028726866,0.396331,0.03328,0.005014617,0.16559665,0.027926695,0.20989743,0.00683862,0.00012140385,0.0058196965,0.0043787723,0.00065504445,0.009039571,0.01159573,0.021447327,0.006284228,0.01026226
Screenshot 2025-04-28 203958_3_0.png,0.35352838,0.0,0.0,0.08312611,0.22413869,0.0012158228,0.0,0.15503253,7.266503e-05,0.10381883,0.0024496235,0.00011394048,0.0,0.009392073,0.20841476,0.0,0.36275458,0.013837214,4.3686837e-06,0.0002921309,6.205517e-05,0.17400482,0.0102472445,0.002518853,0.032466546,0.0037529706,0.2441943,0.03255931,0.047469467,0.14528072,0.11048751,0.0477541,0.05543796,0.10606255,6.288941e-05,0.3311926,0.00015547987,0.049756527,0.0015767666,0.13373764,4.149355e-06,0.2699778,0.004001408,0.010267897,0.0,0.04886046,1.753892e-05,0.027866142,0.40084693,0.032758728,0.005123206,0.16814764,0.028613642,0.21334893,0.006527175,0.00027917066,0.005779676,0.003659451,0.0005061802,0.009251708,0.009853283,0.021866282,0.005567087,0.009375902
Screenshot 2025-04-28 203958_5_0.png,0.32566798,0.000114470335,0.0,0.089185014,0.22410837,0.000982251,0.0,0.14128537,0.0007435479,0.10315418,0.0023738486,0.00028599784,0.0,0.012035729,0.19727775,0.0,0.3508297,0.02078639,2.776562e-05,0.00074369693,6.2209205e-05,0.1525776,0.017963052,0.0028912863,0.031969164,0.0035419087,0.24603517,0.03246736,0.04240226,0.13132648,0.11539384,0.045042392,0.055122852,0.094232894,0.00040500122,0.32920316,7.2378185e-05,0.051787764,0.0019988797,0.11447225,0.00011159417,0.24848114,0.004034261,0.012632632,2.8884751e-05,0.04997657,8.1138314e-05,0.033198524,0.3685272,0.034294784,0.004197871,0.14788346,0.019365475,0.18388247,0.007087563,0.00020214445,0.005970569,0.004069139,0.0008422062,0.011618466,0.015025396,0.021694666,0.006802288,0.016148021
Screenshot 2025-04-28 203958_6_0.png,0.36221716,0.0,0.0,0.0824095,0.22195539,0.0010747223,0.0,0.15886033,0.000136588,0.10310039,0.0024433308,0.00032602355,0.0,0.0064149415,0.21250741,0.0,0.36556107,0.011612407,3.4998087e-05,0.000405858,6.205517e-05,0.18019617,0.006789407,0.0026873753,0.03131961,0.0033888815,0.2425355,0.031736083,0.04894853,0.15156019,0.11015467,0.048556477,0.05392177,0.11008078,0.000208451,0.33158052,0.00017708608,0.049177684,0.0012584551,0.1409958,2.4210109e-05,0.27685094,0.0036921091,0.00799927,2.2441327e-05,0.047688764,6.662593e-05,0.025625616,0.4113546,0.029136948,0.0050867195,0.17572428,0.03475576,0.2254542,0.0055544926,0.00035686188,0.005858434,0.0027657673,0.00015128677,0.007140211,0.0065823696,0.020142423,0.0045325384,0.006864745
Screenshot 2025-04-28 203958_7_0.png,0.33447582,3.6713875e-05,0.0,0.08256343,0.21966152,0.0012903773,4.078827e-06,0.14701805,5.1101557e-05,0.10115095,0.0023098933,0.00011642996,0.0,0.012456153,0.19959447,0.0,0.35178152,0.01635265,0.00016313673,0.00024505582,6.205517e-05,0.15964499,0.012732801,0.0025093681,0.03193308,0.0042898376,0.2417418,0.030733988,0.04387072,0.136233,0.107527845,0.044977363,0.05602478,0.09738614,0.0006197199,0.32175612,2.1370197e-05,0.050102036,0.0012545775,0.12268858,0.0,0.25852448,0.004180345,0.013536427,9.714431e-06,0.05166866,1.8141092e-05,0.030986266,0.37764028,0.02981178,0.004991751,0.15479858,0.02398833,0.19396374,0.006492397,0.00012140385,0.005457336,0.0037810896,0.0013859051,0.010791997,0.011629081,0.02087307,0.0071908906,0.01217296
Screenshot 2025-04-28 204033_0_0.png,0.3438214,0.0,0.0,0.08367106,0.22351515,0.0013219584,0.0,0.14947268,8.027145e-05,0.10378702,0.002424466,0.0003881909,0.0,0.010829585,0.20384312,0.0,0.35803434,0.016467394,4.3686837e-06,0.0005447342,6.205517e-05,0.16569558,0.01311151,0.0025672996,0.032490145,0.004269013,0.24433787,0.031842224,0.045800086,0.139373,0.11071933,0.047164384,0.055387493,0.102074206,0.0002966433,0.32868198,0.00014099528,0.049279474,0.0014902833,0.12748359,8.151827e-06,0.26217288,0.00442207,0.012152433,0.0,0.050337445,2.6585967e-05,0.029539732,0.38911664,0.032631725,0.0051948787,0.15972444,0.02506425,0.20295174,0.0071591055,0.0002171078,0.0064045144,0.0039504454,0.0012218233,0.01024032,0.012054084,0.022013819,0.0061889463,0.012162216
Screenshot 2025-04-28 204033_3_0.png,0.3589703,8.59986e-06,0.0,0.082729384,0.22323176,0.0010585113,9.373283e-06,0.15737608,0.00013133521,0.10356217,0.0024016658,0.0003131078,0.0,0.007252695,0.21082947,0.0,0.36444467,0.0125290565,4.3686837e-06,0.00042851028,6.205517e-05,0.17780915,0.008651074,0.0027097387,0.031779606,0.00374175,0.24356917,0.031766888,0.04837653,0.14911082,0.110075235,0.04791487,0.054469857,0.108788885,0.000268003,0.33142653,0.0001837474,0.049377225,0.0014329726,0.13832602,6.7592637e-06,0.27421096,0.0037305465,0.009306322,0.0,0.048133932,5.972427e-05,0.02613065,0.40736592,0.030341312,0.0051489696,0.1728009,0.033000734,0.22090009,0.005750858,0.00028509894,0.0060715987,0.0028997906,0.00021586732,0.007807666,0.007381227,0.020802416,0.0046922946,0.0080751
Screenshot 2025-04-28 204033_4_0.png,0.3565033,4.8087033e-05,0.0,0.08383252,0.2253735,0.001251614,8.524915e-06,0.15760766,0.00033132063,0.1036155,0.002220221,8.089683e-05,0.0,0.00800972,0.20857519,0.0,0.36177126,0.011229911,0.00011820932,0.000103938095,6.205517e-05,0.17757478,0.010012676,0.002548229,0.032740775,0.00430147,0.2458395,0.030820563,0.04849159,0.14741184,0.108964965,0.04660143,0.055370603,0.10786495,0.0001824545,0.331766,2.1370197e-05,0.051475205,0.001418387,0.13687119,0.0,0.2734434,0.0036788723,0.009994522,3.1965763e-05,0.048875038,6.799924e-05,0.026763158,0.4052921,0.030774817,0.0049135787,0.17242762,0.032391205,0.21814215,0.0058333306,0.00012140385,0.005110653,0.0034345966,0.0003446189,0.00753309,0.008121269,0.02074093,0.004750401,0.00948224
Screenshot 2025-04-28 204033_5_0.png,0.33657694,0.0,0.0,0.08599669,0.22429428,0.0014937643,0.0,0.14563902,5.294299e-05,0.10382107,0.0024377238,0.00016028341,0.0,0.011475853,0.20107515,0.0,0.35650697,0.018336788,4.3686837e-06,0.00050761114,6.205517e-05,0.16100356,0.017150054,0.0027494268,0.0335562,0.004044705,0.24483038,0.0334544,0.044031058,0.13540193,0.11330016,0.04614423,0.054494645,0.098781854,0.00031569533,0.3297174,0.00011480177,0.050726295,0.002096343,0.12196293,2.4508801e-05,0.25561202,0.003984106,0.011610558,6.058449e-06,0.04961332,1.94277e-06,0.031202786,0.38013747,0.03696013,0.0051353592,0.15293458,0.021785442,0.19629474,0.0074961013,0.00020114555,0.006296192,0.0046091718,0.00079487,0.011775303,0.01514029,0.02373719,0.0078823585,0.014280376
Screenshot 2025-04-28 204033_7_0.png,0.32817277,0.00013945438,0.0,0.08603304,0.22284566,0.0014479848,7.305202e-07,0.14221139,0.0002218515,0.10358749,0.0024326649,0.00055366557,0.0,0.01222612,0.19709803,0.0,0.35095823,0.020441452,6.5654494e-05,0.00060094503,6.205517e-05,0.15439522,0.016951522,0.0029624738,0.03233329,0.004417043,0.24507716,0.031607386,0.04290567,0.13162456,0.11192402,0.044978753,0.054831285,0.09540337,0.0011078925,0.32649472,0.00012555638,0.05065358,0.0013675382,0.11736616,1.0647185e-06,0.2512412,0.0041252077,0.014773464,0.0,0.05107719,8.569863e-06,0.03241085,0.37043095,0.03223808,0.0048876195,0.14814177,0.021454198,0.18640074,0.0069965236,0.00012140385,0.006199059,0.004066492,0.0011569676,0.0124747865,0.014832223,0.02172994,0.0075433855,0.014810553
Screenshot 2025-04-28 204050_2_0.png,0.3583339,0.0,0.0,0.08434676,0.22574064,0.001559082,0.0,0.15669441,5.681582e-05,0.105364375,0.0022949101,0.00028037952,0.0,0.0072632623,0.20984152,0.0,0.36463585,0.012755893,2.7711763e-05,0.00061570323,6.205517e-05,0.17831163,0.010072997,0.0025070712,0.032922916,0.0039985524,0.24649453,0.03140906,0.047791697,0.14731416,0.1114517,0.047605697,0.054674894,0.10866168,5.673381e-05,0.33395576,2.773062e-05,0.05025751,0.0013464056,0.13745676,4.275643e-05,0.27290064,0.0036901752,0.010580545,0.0,0.04829386,1.9733776e-05,0.027525054,0.40682095,0.03230015,0.0050435863,0.1719907,0.031183887,0.21874037,0.0069773947,0.00012140385,0.006151446,0.0038744602,8.078786e-05,0.008527407,0.010077775,0.021583186,0.0055582137,0.008797269
Screenshot 2025-04-28 204050_3_0.png,0.3572874,0.0,0.0,0.08350003,0.22488111,0.0013298909,0.0,0.15657918,5.29103e-05,0.10439865,0.002426671,0.00040068867,0.0,0.0074738194,0.20998275,0.0,0.36353552,0.012673811,4.3686837e-06,0.00036091355,6.205517e-05,0.17663439,0.0096425,0.0025937129,0.03222719,0.0040102107,0.24539657,0.03147419,0.048071243,0.14701389,0.11026028,0.047755435,0.054873485,0.10833036,7.481256e-05,0.33214164,0.00010941374,0.050012697,0.0015051698,0.13683328,5.4348537e-05,0.2723247,0.0036782864,0.010264692,0.0,0.048548996,1.5794209e-05,0.026236577,0.4058317,0.0313066,0.0051822546,0.17116591,0.03142739,0.21825983,0.0061594765,0.0001945338,0.0059506884,0.0035000667,0.00016577721,0.008470774,0.008545706,0.02144265,0.0050585736,0.008695774
Screenshot 2025-04-28 204050_5_0.png,0.3428201,2.8875244e-05,0.0,0.086292356,0.22616233,0.0011592059,1.2391121e-05,0.1495342,5.1101557e-05,0.10443742,0.0022700639,0.0005770535,0.0,0.009138918,0.20463502,0.0,0.35812828,0.017351763,4.3686837e-06,0.0006201773,6.205517e-05,0.16475792,0.013223477,0.0026500972,0.032307725,0.0036598507,0.24781331,0.031414885,0.044679165,0.13850488,0.112172484,0.047330026,0.054188505,0.10232008,0.00021641245,0.33184415,2.1370197e-05,0.050092857,0.0019394754,0.12595226,2.8896477e-05,0.26100707,0.0037486996,0.012767784,1.7303846e-05,0.049338035,1.4592245e-05,0.028940521,0.38872784,0.03203475,0.0053010457,0.15891805,0.025258482,0.2005821,0.0065034335,0.00017198596,0.006431277,0.0036280956,0.00025704308,0.010870643,0.011161874,0.022107622,0.005993468,0.0121819675
Screenshot 2025-04-28 204050_6_0.png,0.36318794,0.0,0.0,0.083596185,0.2246081,0.0011343104,0.0,0.15950055,5.1101557e-05,0.10434404,0.0022333632,0.000164697,0.0,0.006293789,0.21262136,0.0,0.36618015,0.010782715,4.3686837e-06,0.00029367983,6.205517e-05,0.18167618,0.008232684,0.002563426,0.03202141,0.003525773,0.24473585,0.03144105,0.049058005,0.15051734,0.10992062,0.04829765,0.05452802,0.11066724,0.00010120938,0.3332426,5.596242e-05,0.04986628,0.0014821483,0.14127631,2.8780281e-05,0.27657232,0.003651788,0.008756721,3.1659085e-05,0.047939215,7.8342855e-06,0.02563417,0.41342193,0.031025477,0.005131861,0.17654246,0.03419465,0.22563717,0.0059435572,0.00024851263,0.0056705885,0.0034153443,6.5899454e-05,0.007336977,0.007215429,0.020974735,0.0044261906,0.0076951976
Screenshot 2025-04-28 204050_7_0.png,0.33433315,9.723235e-07,0.0,0.088743046,0.22704868,0.0015905868,0.0,0.14362068,5.1101557e-05,0.10643741,0.00239037,0.00078100257,0.0,0.010466577,0.20049691,0.0,0.35488957,0.019922804,5.777101e-05,0.0010512585,6.205517e-05,0.15853833,0.01919441,0.0026959006,0.033107396,0.004160415,0.24814337,0.03240913,0.04295475,0.13262032,0.11468087,0.045765128,0.055187955,0.09972963,0.00046701758,0.33228025,2.6617126e-05,0.05114588,0.0017289656,0.12038642,2.675935e-05,0.25240523,0.0037354296,0.014194988,0.0,0.04946848,4.5940968e-05,0.031299006,0.37815815,0.0359415,0.0050571267,0.15164994,0.02144077,0.19283386,0.0077828155,0.00012140385,0.0068002264,0.005065885,0.00031739587,0.012215344,0.017251492,0.023936778,0.0073358137,0.015439497
Screenshot 2025-04-28 204107_0_0.png,0.3341614,1.2993814e-05,0.0,0.08469547,0.22147952,0.0014602337,0.0,0.1454056,5.2392443e-05,0.10276748,0.0023715966,0.0001965116,0.0,0.012229238,0.1995796,0.0,0.35346138,0.018248845,4.3686837e-06,0.0004123846,6.205517e-05,0.158575,0.014622275,0.002809731,0.031666283,0.0043350225,0.2433086,0.031769436,0.04411756,0.13464972,0.11083065,0.045199003,0.054532498,0.09800848,0.00037217347,0.32466155,6.0615817e-05,0.050453942,0.0015977628,0.120904244,6.64282e-05,0.25525162,0.003912466,0.013884811,0.0,0.05148368,8.85255e-06,0.030824143,0.37837377,0.03345726,0.0052889525,0.1530306,0.022823356,0.19456406,0.007196747,0.00012140385,0.006108522,0.0042913575,0.0011576924,0.011502628,0.012692977,0.02157022,0.0068216063,0.013474223
Screenshot 2025-04-28 204107_1_0.png,0.3612824,0.0,0.0,0.08204828,0.2220104,0.001096892,0.0,0.15762201,5.5271063e-05,0.10268468,0.0022142394,0.00022112115,0.0,0.0065697697,0.21251792,0.0,0.36430675,0.010978909,4.3686837e-06,0.0006040805,6.205517e-05,0.17914426,0.008236218,0.0025233063,0.032208607,0.0037118187,0.24025288,0.03193735,0.04850611,0.15053773,0.11124128,0.048625484,0.054421578,0.10919964,3.0136807e-06,0.33212402,0.00013624065,0.04863826,0.0012259976,0.14003891,0.00012021657,0.2749812,0.0036469807,0.0076522157,0.0001117692,0.046860624,1.2317373e-05,0.026461184,0.40888363,0.030761806,0.0050349366,0.17323571,0.032849684,0.2246055,0.0062736426,0.00015490092,0.005845966,0.0035928055,5.2956704e-05,0.008454908,0.008348184,0.02149055,0.005819053,0.0056707207
